Metin,Normal Metin,Niyet,Kaynak,Bölüm
kaç kitap var şu anda,kac kitap var su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
yumurta pişirmek için iyi yöntem nedir,yumurta pisirmek icin iyi yontem nedir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
lütfen kitaplarla ilgili şaka anlat olur mu,lutfen kitaplarla ilgili saka anlat olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
az önceki kitap ne anlatıyor lütfen,az onceki kitap ne anlatiyor lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
samsunda saat kaç,samsunda saat kac,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
merak ettim ne zaman doğdun şu anda,merak ettim ne zaman dogdun su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
bu eser edebî türü nedir hatırlatır mısın,bu eser edeb turu nedir hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
tamam sonra konuşuruz sonra,tamam sonra konusuruz sonra,VEDA,KitapPusula-Final-özel,eğitim
bu eser konusu ne lütfen,bu eser konusu ne lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
sınıflandırıcı kategori listesini ver söyler misin,siniflandirici kategori listesini ver soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
kim yazdı bunu,kim yazdi bunu,YAZAR_SORUSU,KitapPusula-V6,eğitim
yeteneklerin neler anlatır mısın,yeteneklerin neler anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu romanda ana karakter kim söyler misin,bu romanda ana karakter kim soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
az önce hangi kitabı konuşuyoruz,az once hangi kitabi konusuyoruz,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bugün gündem nasıl özetler misin,bugun gundem nasil ozetler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
bu eser hangi tür söyler misin,bu eser hangi tur soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
Denizler Altında Yirmi Bin Fersah,denizler altinda yirmi bin fersah,KITAP_ARAMA,KitapPusula-V6,eğitim
cakarta saatini söyle,cakarta saatini soyle,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
söyler misin ne zamandır varsın lütfen,soyler misin ne zamandir varsin lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
moralin nasıl,moralin nasil,NASILSIN,KitapPusula-V6,eğitim
o zaman sohbeti bitirelim,o zaman sohbeti bitirelim,VEDA,KitapPusula-Final-özel,eğitim
merak ettim fiziksel olarak neredesin lütfen,merak ettim fiziksel olarak neredesin lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
bana bir köfte tarifi ver,bana bir kofte tarifi ver,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
az önce kitabın adı neydi,az once kitabin adi neydi,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
başka zaman devam edelim KitapPusula,baska zaman devam edelim kitappusula,VEDA,KitapPusula-Final-özel,eğitim
neşeli bir cümle kur lütfen,neseli bir cumle kur lutfen,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
bu kitap hangi türe ait söyler misin,bu kitap hangi ture ait soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
istanbul saati,istanbul saati,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bugün nasıl gidiyor KitapPusula,bugun nasil gidiyor kitappusula,NASILSIN,KitapPusula-V6,eğitim
kitap modeli için hangi algoritma kullanıldı,kitap modeli icin hangi algoritma kullanildi,MODEL_BILGISI,KitapPusula-V6,eğitim
ne kadar kitap biliyorsun şu anda,ne kadar kitap biliyorsun su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
tıbbi teşhis koy olur mu,tibbi teshis koy olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
bana ne yapabiliyorsun anlatır mısın,bana ne yapabiliyorsun anlatir misin,YARDIM,KitapPusula-V6,eğitim
merak ettim kaç yıllıksın lütfen,merak ettim kac yilliksin lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
yemekleri pişirmek üzere nasıl hazırlarım,yemekleri pisirmek uzere nasil hazirlarim,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap kalın mı,bu kitap kalin mi,SAYFA_SORUSU,KitapPusula-V6,eğitim
bana özelliklerini anlat,bana ozelliklerini anlat,YARDIM,KitapPusula-V6,eğitim
bu kitapta olaylar nasıl gelişiyor anlatır mısın,bu kitapta olaylar nasil gelisiyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
modelle kitap açıklamasından tür tahmin et lütfen,modelle kitap aciklamasindan tur tahmin et lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
Koca Ali kimdir,koca ali kimdir,KARAKTER_SORUSU,KitapPusula-V6,eğitim
ankarada mevcut hava durumu ne,ankarada mevcut hava durumu ne,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
selam,selam,SELAMLAMA,KitapPusula-V6,eğitim
bu eser kısa özetini ver lütfen,bu eser kisa ozetini ver lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
açıklar mısın adın ne,aciklar misin adin ne,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
Körlük,korluk,KITAP_ARAMA,KitapPusula-V6,eğitim
hemen bir fonksiyon yaz olur mu,hemen bir fonksiyon yaz olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
artık şimdilik bu kadar sonra,artik simdilik bu kadar sonra,VEDA,KitapPusula-Final-özel,eğitim
acaba bir adresin var mı,acaba bir adresin var mi,BOT_KONUM,KitapPusula-Final-özel,eğitim
romanda olaylar nasıl gelişiyor kısaca söyler misin,romanda olaylar nasil gelisiyor kisaca soyler misin,OLAY_SORUSU,KitapPusula-V6,eğitim
bu kitap hakkında ayrıntılı anlat lütfen,bu kitap hakkinda ayrintili anlat lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
lütfen bana bu hafta cuma günü hava açık ve güneşli olacak mı söyle,lutfen bana bu hafta cuma gunu hava acik ve gunesli olacak mi soyle,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
yardımın için minnettarım sana,yardimin icin minnettarim sana,TESEKKUR,KitapPusula-Final-özel,eğitim
başka zaman devam edelim,baska zaman devam edelim,VEDA,KitapPusula-Final-özel,eğitim
hikâyede sonunda ne oluyor,hik yede sonunda ne oluyor,OLAY_SORUSU,KitapPusula-V6,eğitim
teşekkürler KitapPusula,tesekkurler kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
kitap modeli için performans metrikleri ne,kitap modeli icin performans metrikleri ne,MODEL_BILGISI,KitapPusula-V6,eğitim
model kaç tür tanıyor söyler misin,model kac tur taniyor soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
izmir'de anlık hava durumu,izmir de anlik hava durumu,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
eyvallah sana,eyvallah sana,TESEKKUR,KitapPusula-Final-özel,eğitim
modelle metinden kitap türü çıkar başlat,modelle metinden kitap turu cikar baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
söyler misin adın ne bana,soyler misin adin ne bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bana nasıl kullanılır,bana nasil kullanilir,YARDIM,KitapPusula-V6,eğitim
kitaplardan konuşmayı seviyorum şimdi,kitaplardan konusmayi seviyorum simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
arkanda kim var,arkanda kim var,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bugün akşam hava nasıl olacak,bugun aksam hava nasil olacak,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
tamam görüşürüz KitapPusula,tamam gorusuruz kitappusula,VEDA,KitapPusula-Final-özel,eğitim
bu kitap ana konusu nedir,bu kitap ana konusu nedir,OZET_SORUSU,KitapPusula-V6,eğitim
konuyu biraz aç,konuyu biraz ac,DETAY_SORUSU,KitapPusula-V6,eğitim
kitabın adı neydi söyler misin,kitabin adi neydi soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
açıklamayı sınıfa ayır lütfen,aciklamayi sinifa ayir lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
KitapPusula bütün kitapları biliyor mu,kitappusula butun kitaplari biliyor mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
şu an dışarıda hava kaç derece,su an disarida hava kac derece,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
bir adresin var mı şu anda,bir adresin var mi su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
bu eser hangi edebî sınıfa giriyor,bu eser hangi edeb sinifa giriyor,TUR_SORUSU,KitapPusula-V6,eğitim
KitapPusula her kitabı bulabiliyor musun şu anda,kitappusula her kitabi bulabiliyor musun su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
az önceki kitap edebî türü nedir,az onceki kitap edeb turu nedir,TUR_SORUSU,KitapPusula-V6,eğitim
bugün nasıl gidiyor bakalım,bugun nasil gidiyor bakalim,NASILSIN,KitapPusula-V6,eğitim
dünya yerel haberleri,dunya yerel haberleri,HABER_SORUSU,MASSIVE-tr-TR,eğitim
az önceki kitap için bilgileri baştan yaz,az onceki kitap icin bilgileri bastan yaz,TEKRAR_GOSTER,KitapPusula-V6,eğitim
merhabalar orada mısın,merhabalar orada misin,SELAMLAMA,KitapPusula-V6,eğitim
neyle ilgili bu,neyle ilgili bu,OZET_SORUSU,KitapPusula-V6,eğitim
kısaca nasıl bir asistansın lütfen,kisaca nasil bir asistansin lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
dışarıdaki hava durumu nasıl bulutlu,disaridaki hava durumu nasil bulutlu,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
romanda neden böyle davranıyor,romanda neden boyle davraniyor,OLAY_SORUSU,KitapPusula-V6,eğitim
bana şifre kırmayı öğret,bana sifre kirmayi ogret,ALAN_DISI,KitapPusula-Final-özel,eğitim
sen sınırsız kitaba erişebiliyor mu,sen sinirsiz kitaba erisebiliyor mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
selamünaleyküm sana da,selamunaleykum sana da,SELAMLAMA,KitapPusula-V6,eğitim
lütfen şifre kırmayı öğret,lutfen sifre kirmayi ogret,ALAN_DISI,KitapPusula-Final-özel,eğitim
adın ne,adin ne,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu kitap ne anlatıyor anlatır mısın,bu kitap ne anlatiyor anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
kendini nasıl hissediyorsun KitapPusula,kendini nasil hissediyorsun kitappusula,NASILSIN,KitapPusula-V6,eğitim
bu eserin hangi yazar yazdı,bu eserin hangi yazar yazdi,YAZAR_SORUSU,KitapPusula-V6,eğitim
nasıl gidiyor KitapPusula,nasil gidiyor kitappusula,NASILSIN,KitapPusula-V6,eğitim
yaşlı mısın lütfen,yasli misin lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
merak ettim kendini tanıt,merak ettim kendini tanit,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bugün c. n. n. de hangi yazılar var,bugun c n n de hangi yazilar var,HABER_SORUSU,MASSIVE-tr-TR,eğitim
iyi akşamlar bugün de,iyi aksamlar bugun de,SELAMLAMA,KitapPusula-V6,eğitim
çok emeğine sağlık KitapPusula,cok emegine saglik kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
yorumuna göre yazar bunu neden yazmış olabilir,yorumuna gore yazar bunu neden yazmis olabilir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
Kırmızı Pazartesi,kirmizi pazartesi,KITAP_ARAMA,KitapPusula-V6,eğitim
bana komutları göster,bana komutlari goster,YARDIM,KitapPusula-V6,eğitim
sistemde kaç kitap var şu anda,sistemde kac kitap var su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
bu eser uzun bir kitap mı,bu eser uzun bir kitap mi,SAYFA_SORUSU,KitapPusula-V6,eğitim
modelle bilinmeyen kitabın türünü belirle lütfen,modelle bilinmeyen kitabin turunu belirle lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
Uğultulu Tepeler,ugultulu tepeler,KITAP_ARAMA,KitapPusula-V6,eğitim
sınıflandırıcı hangi sınıflar var,siniflandirici hangi siniflar var,KATEGORI_LISTESI,KitapPusula-V6,eğitim
lütfen beni güldür olur mu,lutfen beni guldur olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
açıklar mısın sen nesin bana,aciklar misin sen nesin bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
muş ta zaman,mus ta zaman,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
yorumuna göre kitap kimlere uygun,yorumuna gore kitap kimlere uygun,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
selamünaleyküm orada mısın,selamunaleykum orada misin,SELAMLAMA,KitapPusula-V6,eğitim
bu kitapta hangi karakterler var hatırlatır mısın,bu kitapta hangi karakterler var hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
az önceki kitap konusu ne,az onceki kitap konusu ne,OZET_SORUSU,KitapPusula-V6,eğitim
gerçekten yardımın işime yaradı sana,gercekten yardimin isime yaradi sana,TESEKKUR,KitapPusula-Final-özel,eğitim
yorumuna göre kitap okunmaya değer mi yorumlar mısın,yorumuna gore kitap okunmaya deger mi yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
arkanda kim var lütfen,arkanda kim var lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
sence bu eserden ne ders çıkarılır yorumlar mısın,sence bu eserden ne ders cikarilir yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitapta sonunda ne oluyor anlatır mısın,bu kitapta sonunda ne oluyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
romanda kahraman neden yola çıkıyor kısaca söyler misin,romanda kahraman neden yola cikiyor kisaca soyler misin,OLAY_SORUSU,KitapPusula-V6,eğitim
bu kitap okuması uzun sürer mi,bu kitap okumasi uzun surer mi,SAYFA_SORUSU,KitapPusula-V6,eğitim
bir tane komik bir şey söyle lütfen,bir tane komik bir sey soyle lutfen,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
adana için haber başlıkları,adana icin haber basliklari,HABER_SORUSU,MASSIVE-tr-TR,eğitim
kim olduğunu anlat,kim oldugunu anlat,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
önümüzdeki çarşamba ayın kaçı olacak,onumuzdeki carsamba ayin kaci olacak,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
az önce neye bakıyorduk,az once neye bakiyorduk,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
verdiğin cevap için teşekkürler,verdigin cevap icin tesekkurler,TESEKKUR,KitapPusula-Final-özel,eğitim
bu eserin kim kaleme aldı söyler misin,bu eserin kim kaleme aldi soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
bu eser türü ne,bu eser turu ne,TUR_SORUSU,KitapPusula-V6,eğitim
senin yaşın olur mu,senin yasin olur mu,BOT_YAS,KitapPusula-Final-özel,eğitim
görüşürüz KitapPusula,gorusuruz kitappusula,VEDA,KitapPusula-Final-özel,eğitim
eyvallah KitapPusula,eyvallah kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
bu kitabın yazarının adı ne,bu kitabin yazarinin adi ne,YAZAR_SORUSU,KitapPusula-V6,eğitim
söyler misin ismin nedir,soyler misin ismin nedir,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu kitap roman mı hikâye mi söyler misin,bu kitap roman mi hik ye mi soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
verdiğin cevap için cevabın faydalı oldu KitapPusula,verdigin cevap icin cevabin faydali oldu kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
sence kitap okunmaya değer mi,sence kitap okunmaya deger mi,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bir şeyler paylaşmak istiyorum şimdi,bir seyler paylasmak istiyorum simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
şu anda konumun neresi,su anda konumun neresi,BOT_KONUM,KitapPusula-Final-özel,eğitim
bu kitabın kim kaleme aldı hatırlatır mısın,bu kitabin kim kaleme aldi hatirlatir misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
bu eser hangi tür hatırlatır mısın,bu eser hangi tur hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
merak ettim arkanda kim var,merak ettim arkanda kim var,BOT_YARATICI,KitapPusula-Final-özel,eğitim
hadi espri yap,hadi espri yap,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
işler nasıl KitapPusula,isler nasil kitappusula,NASILSIN,KitapPusula-V6,eğitim
sen bir robot musun,sen bir robot musun,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
az önce kitabın ismini hatırlat hatırlatır mısın,az once kitabin ismini hatirlat hatirlatir misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
gelece salı ayın hangi gününe geliyor,gelece sali ayin hangi gunune geliyor,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
1984,1984,KITAP_ARAMA,KitapPusula-V6,eğitim
artık başka zaman devam edelim KitapPusula,artik baska zaman devam edelim kitappusula,VEDA,KitapPusula-Final-özel,eğitim
model hangi sınıflar var söyler misin,model hangi siniflar var soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu kitapta sonunda ne oluyor,bu kitapta sonunda ne oluyor,OLAY_SORUSU,KitapPusula-V6,eğitim
yılın hangi haftası yaz mevsimi başlıyor,yilin hangi haftasi yaz mevsimi basliyor,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
artık görüşürüz,artik gorusuruz,VEDA,KitapPusula-Final-özel,eğitim
sınıflandırıcı desteklenen kategoriler neler şu anda,siniflandirici desteklenen kategoriler neler su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
ankara için hava durumunu söyler misin,ankara icin hava durumunu soyler misin,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
söyler misin yeteneklerin neler anlatır mısın,soyler misin yeteneklerin neler anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
az önceki kitap için daha fazla detay ver,az onceki kitap icin daha fazla detay ver,DETAY_SORUSU,KitapPusula-V6,eğitim
gerçekten cevabın faydalı oldu,gercekten cevabin faydali oldu,TESEKKUR,KitapPusula-Final-özel,eğitim
bugün haber gündeminde ne bulunuyor lütfen,bugun haber gundeminde ne bulunuyor lutfen,HABER_SORUSU,KitapPusula-Final-özel,eğitim
çok teşekkür ederim sana,cok tesekkur ederim sana,TESEKKUR,KitapPusula-Final-özel,eğitim
kaç kitap var söyler misin,kac kitap var soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
kendini nasıl hissediyorsun,kendini nasil hissediyorsun,NASILSIN,KitapPusula-V6,eğitim
bu kitap kısaca özetle anlatır mısın,bu kitap kisaca ozetle anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
KitapPusula ile yeni tahmin yap lütfen,kitappusula ile yeni tahmin yap lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
cevabın faydalı oldu KitapPusula,cevabin faydali oldu kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
lütfen telefon tamirini anlat olur mu,lutfen telefon tamirini anlat olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
yorumuna göre kitap okunmaya değer mi kısaca değerlendir,yorumuna gore kitap okunmaya deger mi kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bana körili tavuk tarifi göster,bana korili tavuk tarifi goster,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
yorumuna göre bu eserden ne ders çıkarılır,yorumuna gore bu eserden ne ders cikarilir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
her kitap sende mevcut mu,her kitap sende mevcut mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
lütfen İngilizce metni çevir,lutfen ingilizce metni cevir,ALAN_DISI,KitapPusula-Final-özel,eğitim
merhabalar KitapPusula,merhabalar kitappusula,SELAMLAMA,KitapPusula-V6,eğitim
moralin nasıl KitapPusula,moralin nasil kitappusula,NASILSIN,KitapPusula-V6,eğitim
keyfin nasıl bakalım,keyfin nasil bakalim,NASILSIN,KitapPusula-V6,eğitim
KitapPusula istediğim her eseri getirebilir mi gerçekten,kitappusula istedigim her eseri getirebilir mi gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitap sayfa sayısı kaç hatırlatır mısın,bu kitap sayfa sayisi kac hatirlatir misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
hemen C sharp kodu üret,hemen c sharp kodu uret,ALAN_DISI,KitapPusula-Final-özel,eğitim
sistemde kaç kayıt tutuluyor söyler misin,sistemde kac kayit tutuluyor soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
bana hangi soruları sorabilirim lütfen,bana hangi sorulari sorabilirim lutfen,YARDIM,KitapPusula-V6,eğitim
o zaman kendine iyi bak KitapPusula,o zaman kendine iyi bak kitappusula,VEDA,KitapPusula-Final-özel,eğitim
bu sistem tüm kitaplar sende var mı,bu sistem tum kitaplar sende var mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
lütfen espri yap lütfen,lutfen espri yap lutfen,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
Tutunamayanlar,tutunamayanlar,KITAP_ARAMA,KitapPusula-V6,eğitim
bu eserle ilgili ayrıntılı anlat,bu eserle ilgili ayrintili anlat,DETAY_SORUSU,KitapPusula-V6,eğitim
merhabalar,merhabalar,SELAMLAMA,KitapPusula-V6,eğitim
bu eserin sahibi hangi yazar söyler misin,bu eserin sahibi hangi yazar soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
hepsini tekrar et bir kez daha,hepsini tekrar et bir kez daha,TEKRAR_GOSTER,KitapPusula-V6,eğitim
hadi şaka yap,hadi saka yap,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
kitap modeli için hangi algoritma kullanıldı ayrıntılı anlat,kitap modeli icin hangi algoritma kullanildi ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
ne haber KitapPusula,ne haber kitappusula,NASILSIN,KitapPusula-V6,eğitim
acaba yaşlı mısın şu anda,acaba yasli misin su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
az önce kitabın ismini hatırlat,az once kitabin ismini hatirlat,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bu kitap türü ne hatırlatır mısın,bu kitap turu ne hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
merak ettim bugün dünyada neler oldu lütfen,merak ettim bugun dunyada neler oldu lutfen,HABER_SORUSU,KitapPusula-Final-özel,eğitim
şu anda evin nerede,su anda evin nerede,BOT_KONUM,KitapPusula-Final-özel,eğitim
tekrar merhaba bugün de,tekrar merhaba bugun de,SELAMLAMA,KitapPusula-V6,eğitim
son olarak son dakika gelişmeleri neler söyler misin,son olarak son dakika gelismeleri neler soyler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
zaman,zaman,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bugünün manşetleri neler,bugunun mansetleri neler,HABER_SORUSU,MASSIVE-tr-TR,eğitim
selamlar,selamlar,SELAMLAMA,KitapPusula-V6,eğitim
merak ettim özelliklerin neler,merak ettim ozelliklerin neler,BOT_YETENEK,KitapPusula-Final-özel,eğitim
söyler misin hangi sistemsin bana,soyler misin hangi sistemsin bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
son olarak gündem nasıl özetler misin,son olarak gundem nasil ozetler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
kendine iyi bak KitapPusula,kendine iyi bak kitappusula,VEDA,KitapPusula-Final-özel,eğitim
Gurur ve Önyargı,gurur ve onyargi,KITAP_ARAMA,KitapPusula-V6,eğitim
bugün sıcak,bugun sicak,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
sence verilmek istenen mesaj ne olabilir yorumlar mısın,sence verilmek istenen mesaj ne olabilir yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
açıklamayı sınıfa ayır başlat,aciklamayi sinifa ayir baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
bana kullanım seçeneklerini ver lütfen,bana kullanim seceneklerini ver lutfen,YARDIM,KitapPusula-V6,eğitim
doğrudan sahibin kim,dogrudan sahibin kim,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bu romanda hikâyeyi taşıyan kişi kim söyler misin,bu romanda hik yeyi tasiyan kisi kim soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
acaba evin nerede lütfen,acaba evin nerede lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
verdiğin cevap için minnettarım sana,verdigin cevap icin minnettarim sana,TESEKKUR,KitapPusula-Final-özel,eğitim
bu sistem istediğim her eseri getirebilir mi şu anda,bu sistem istedigim her eseri getirebilir mi su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
söyler misin seni kim kodladı,soyler misin seni kim kodladi,BOT_YARATICI,KitapPusula-Final-özel,eğitim
iki kişilik romantik akşam yemeği için tarif bul,iki kisilik romantik aksam yemegi icin tarif bul,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
kaç örnekle eğitildi söyler misin,kac ornekle egitildi soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
bu yıl on üçüncü cuma hangi gün,bu yil on ucuncu cuma hangi gun,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap hakkında başka neler biliyorsun,bu kitap hakkinda baska neler biliyorsun,DETAY_SORUSU,KitapPusula-V6,eğitim
doğum tarihin ne şu anda,dogum tarihin ne su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
bu eser neyi konu alıyor anlatır mısın,bu eser neyi konu aliyor anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
bu eser okuması uzun sürer mi söyler misin,bu eser okumasi uzun surer mi soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
sınıflandırıcı hangi türleri biliyor,siniflandirici hangi turleri biliyor,KATEGORI_LISTESI,KitapPusula-V6,eğitim
sen bütün kitapları biliyor mu şu anda,sen butun kitaplari biliyor mu su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
yardımın için sağ ol sana,yardimin icin sag ol sana,TESEKKUR,KitapPusula-Final-özel,eğitim
gerçekten çok sağ ol KitapPusula,gercekten cok sag ol kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
uçak bileti bul,ucak bileti bul,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu kitapta anlatılan kişi kim hatırlatır mısın,bu kitapta anlatilan kisi kim hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
şu an ne kadar soğuk,su an ne kadar soguk,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
romanda neden böyle davranıyor anlatır mısın,romanda neden boyle davraniyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
neler yapabiliyorsun anlatır mısın,neler yapabiliyorsun anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu eserle ilgili daha derin bilgi ver lütfen,bu eserle ilgili daha derin bilgi ver lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
macro f1 kaç ayrıntılı anlat,macro f1 kac ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
acaba konumun neresi şu anda,acaba konumun neresi su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
