Kitap Adı,Kitap Açıklaması,Kategori
Benim Kayıp Şairlerim,"Hayatlarının belli bir döneminde yolu şiirden geçen ustalara, yazmaya şiirle başlayan dostlara bir saygı duruşudur bu kitap...Dergilerde veya kitaplarda kalmış şiirlerinden tadımlık da olsa örnekler sunmaya çalıştım.Bu isimlerden bir kısmına 'kayıp şair' demek doğru olmaya- bilir. Şiir yazmıyor ama yaşıyor olabilirler; bu da anlamlı bir şeydir.Fakat biz okurları olarak onları yeniden şiire davet ediyoruz. Buna hakkımız var...",Deneme
Motivasyonun Gücü,"Motivasyon, hayat enerjisini yükseltir ve insanı hedefe odaklar. Elinizdeki kitap sayesinde motivasyonun hayatımızdaki yerini kavrayacak ve başarılı insanların fikir dünyalarına komşu olacaksınız. Siz de zorlukları yenmek ve engelleri aşmak istiyorsanız bu kitap çok değerli bir kılavuz niteliğinde. Motive olmak artık hiç zor olmayacak.",Hikâye
Piyano Akortçusu,"Tayvan’daki tüm büyük edebiyat ödüllerini kazanan Piyano Akortçusu aşk, kayıp, yarım kalan hayaller, müzik tutkusu hakkında bir ağıt.Genç karısı için yas tutan dul bir adam. Ömür boyu sırlarla yaşayan bir piyano akortçusu. Akordu bozuk bir Steinway piyanosu. Taipei’de genelevlerin bulunduğu bir mahallenin karanlık bir apartman dairesinden karla kaplı New York’a uzanan, zaman ve kıtalar arasında geçen bir kendini keşfetme yolculuğu. Hikâyenin merkezindeki isimsiz anlatıcı bir piyano akortçusu. Kırklı yaşlarında, kel, çirkin ve ezik; ama bir zamanlar müzik dehası olan biri. Hangi ihanet ve hangi",Hikâye
Kan Mevsimi (Karton Kapak),"RUSLAN Bir vampirin aşkının zalimlik ve bağımlılıktan ibaret olduğunu İlay'la tanışana kadar bilmiyordu.Bu aşk en başta kendi ölümüyle sonuçlandı. İLAY Yeni birisini dönüştürmekten menedilmişti. Ancak Ruslan'ı ölüme terk edemeyecek kadar çok seviyordu.Sevgilisini geri getirdiğinde cezaları sonsuza dek ayrı kalmaları oldu. LİKYA ve KARYA Aynı odayı dahi paylaşmakta güçlük çeken ikiz kız kardeşlerdi.Bulanık bir geçmiş ve talihsiz bir kaza sonucu aynı bedene sıkışıp kaldılar. İSTANBUL’UN YETENEKLİ VAMPİRLERİNİ HEDEF ALAN BİR KATİLİN SERİ CİNAYETLERİ İLE KAN ÇİSELEMEYE BAŞLADI. FAKAT, ASIL KAN MEV",Roman
Casuslar Sahili,"Maggie Bird, sahil kasabası Purity’de yaşayan emekli bir casustur. Çiftliğinde sakin bir hayat sürer ve geçmişinden hiç bahsetmez. Ancak bir gün kimliği belirsiz bir ceset kapısına bırakıldığında, Maggie bunun geçmişiyle bağlantılı bir mesaj olduğunu anlar. Uzun zaman önce parçası olduğu başarısız bir operasyon hem casusluk kariyerini bitirmiş hem de acı bir kayba mal olmuştur. Maggie hayatta kalmak için peşine düşenleri bulmak zorundadır. Aynı kasabada yaşayan üç eski casus arkadaşının (kim olduklarını ve neler karıştırdıklarını soran olursa Martini Kulübü) yardımıyla, Bangkok’tan İstan",Polisiye
Dune Mesihi,"Bir edebiyat klasiği olan, dünyanın en çok satan bilimkurgu serisi muhteşem Dune efsanesi, ikinci kitabı Dune Mesihi’yle macerasına devam ediyor. Paul Muad’dib, gezegenlerin hakimi, kutsal savaşın görkemli galibi, prensken devrimci olan bir lider, fanatik bir dini kardeşliğin mesihi… Fremenlerin başına geçip Dune adıyla bilinen Arrakis gezegenini kontrol etmeye başlamakla kalmayıp evrenin hükümdarı olan Paul, çağlar süren bir düzene son vermiş, bir halkın kurtuluşu olmuş ve bir gezegenin en büyük ütopyasını gerçekleştirmeye ant içmiştir. Ancak zaferinden on iki yıl sonra, tüm bu güçlere sahip",Bilimkurgu-Fantazya
Onlar Hep Oradaydı,"Kızılderililerin sürüldüğü topraklarda, 1966’da, uzay kıyafetleri giydirilen NASA görevlilerine Ay’a indiklerinde ne yapacakları, nasıl davranacakları anlatılırken, yaşlı bir Kızılderili’nin yanındaki çocukla birlikte bu çalışmaları her gün izlediği görülür. Aradan geçen birkaç gün sonra çocuk yanlarına gelir: “Beni babam gönderdi. O Beyaz Adam’ın dilini bilmiyor. Ben okulda öğrendim. Babam, bu garip aletler ve kıyafetlerle burada günlerdir ne yaptığınızı soruyor.”Bir NASA yetkilisinin, Ay’a gitmek üzere olduklarını, bunun için astronotları eğittiklerini anlatması üzerine Kızılderili çocuk bab",Deneme
Nar Mevsimi,"Çocukluğum Ege’de iki katlı, önü sofalı, kapısı yeşil boyalı, bağlı, bostanlı, masal gibi bahçeli bir evde geçti. Evimizin bahçesinde altın sarısı renkleriyle gülen ayvalar, şifa kaynağı dutlar, dert ortağım ahlatlar, Ege’nin bal incirleri, tepesine tırmanıp sularını üstüme akıta akıta yediğim yemyeşil can erikleri ve güneşi eme eme sararan bereketli asmalar, salkım saçak arzıendam ederlerdi. Zeytinyağlı ev sabunu kokan odamın demirlerinden sarkan iplerde biber ve patlıcanların kuruduğu, pervazında ebruli sardunyaların durduğu geniş penceresinin önünde, kocaman bir nar ağacı vardı ki tıpkı hay",Anı
Yunanistan İzlenimleri,"Yunanistan İzlenimleri’nde 2022, 2023, 2024 yıllarındadolaştığım Yunanistan’dan söz ediyorum.Okurun karşısına Dedeağaç, Gümülcine, İskeçe, Serez,Drama, Kavala, Selânik, Atina, Yanya, Parga, Preveze,Trikala, Kalambaka, Atina kentleri ve Patmos, Santorini,Mikonos, Girit adalarıyla çevrelerindeki günlük yaşamdan ve gözlemlerden aktarımlar, doğaya ilişkin anlatılar, tarihsel olaylar ve kişiler, eski ve yeni anıtlar, siyasal ve hukuksal gündemler çıkacaklar.İnsanlara ve olaylara, erişebildiğim gerçekler ışığındayansız yaklaşmaya çalıştım ancak belgelere dayananyorumlarımda mağdurdan yana tutum takı",Deneme
Evlerin Yüreği,"Artık sesim yok, işte bu yüzden korkacak bir şey de yok. Şenay Eroğlu Aksoy’u öykü okurlarıyla tanıştıran Evlerin Yüreği, yazarının deyimiyle bir çığlık:“Bazı evlerin yüreğinin karanlıkta çarptığını hepimiz biliyoruz. Orada zayıf olan için hayat zor. En hafif ifadeyle katlanılmak zorunda olunan bir şey hayat. Bu öyküler, yıllardır deneyimlediğim eşitsizlik ve itilmişliğe duyduğum öfkenin dışavurumu...” Görmezden gelinenleri irinli bir yarayı patlatır gibi görünür kılan incelikli bir dil, çağdaş öykücülüğümüzde çoktan yerini almış bir ilk kitap.",Hikâye
Yeniden İbn Sina Ortaçağ İslam Felsefesi ve Çağdaş Batı Felsefesi Analizinden Hareketle,"Bu kısa hacimli kitap, Ortaçağ İslam felsefesi incelemelerinin tarihinde “eş-Şeyhü’r-Reîs” (Avicenna) unvanıyla tanınmış İbn Sînâ’yı çağdaş felsefe incelemelerinin tarih yazımına “tüm zamanların en büyük sistem filozofu” olarak yerleştirmeye yoğunlaşmaktadır. Bunu yaparken felsefe ve İslam felsefesinin yanı sıra bir din olarak İslam, 11. yüzyıl İslâm toplumlarının tarihsel koşulları, 21. yüzyıldaki İslam felsefesi araştırmacısı olan özne ve bütün bir Batı felsefesi tarihi yeniden tanımlanmaya çalışılmaktadır. Felsefenin ve İslâm’ın anlamlarının yanı sıra İbn Sînâ, onun takipçileri ve eleştirme",Biyografi-Otobiyografi
Dilim Kırdı Zincirini,"Kimini denizden çıkardılar,Kimini bir bina enkazından...Mümkünse utanmadan,Bakıverin çocukların gözüne...Çocuklar sessizce Ve böyle tükürür işte,Ar damarı çatlamışBu dünyanın yüzüne...",Şiir
Sessiz Şarkılar / Felanties Serisi 1. Kitap,"Quariantes'in kadim zamanlarından beri hüküm süren Kutsal Öz temsilcileri, Felanties'in karanlık gücü karşısında bir direnç halkası oluşturmakta ve Gaelnor'un karanlık ülkesinden dünyayı korumaya çalışan kudretli insanlar, bitmek bilmeyen bir savaş vermekteydi. Bir tarafta öfke ve nefret, diğer tarafta sevgi ve merhamet varken, mücadelenin kaderi acaba kimlerin elindeydi?Işık ve karanlığın sonsuzluk dansı artık başlıyordu!",Bilimkurgu-Fantazya
Fatih Hatıratı,"İstanbul şehrinin en güzide semtidir Fatih. Her şey bir yana Peygamber Efendimiz’in (sas) “Ne güzel kumandan!” buyurduğu Fatih Sultan Mehmed Han, ismiyle anılan bu semtte medfundur. Fatih Camii ve civarı İstanbul’un Mekke’si, Eyüp Sultan Camii ve haziresi İstanbul’un Medine-i Münevvere’si ve Hazret-i Pir Yusuf Sünbül Sinan Camii ve türbesi ise İstanbul’un Kerbela’sı olarak kabul görmüştür. Ancak Fatih Camii ve civarının İstanbul’un yüzünü aksettiren ve şehrin hatta bütün memleketin nasıl bir durumda olduğunu gösteren acayip bir hâli vardır. Fatih semti, her bakımdan yaşayan ve maneviyatı diri",Anı
Buz Üzerinde Tango,"Önce İstanbul, Sonra Hep Cunda ve Kocam Yine Âşık Oldu adlı kitapların yazarı Deniz Çöğendezoğlu, yeni öyküleriyle okurlarının karşısına çıkıyor. Buz Üzerinde Tango’da, kadına, insana, doğaya, hayata dair kısa ve vurucu anları, zaman parçacıklarını yakalayan yazar, bazen kendisiyle ve gölgesiyle konuşuyor, bazen de içinden çıkamadığımız pek çok çemberi işaret ediyor bize. İlişkiler, karşılaşmalar, ayrılıklar ve düşler üzerine sıcak, tanıdık öyküler…",Hikâye
Biletiniz Buraya Kadar,"Fransız edebiyatının dâhi kalemi Goncourt Ödüllü Romain Gary, Biletiniz Buraya Kadar'da erk, erkeklik, iktidar, kazanma hırsı, genç kalma gibi hem kadim hem de alabildiğince güncel sorunları muzip ve bilgece ele alıyor. Orta yaşlarının son yıllarını sürmekte olan varlıklı sanayicinin yolu genç bir kadınla kesişir. Bu tarihler aynı zamanda yaşlı Avrupa'nın da yeni bir bunalımı yaşadığı yıllardır. Mevcut koşullar yaşama her bakımdan üstün gelmiş bir erkeğin ruhsal ve cinsel anlamda yetersizlik sarmalına girmesine, derin bir erkeklik açmazına düşmesine yol açar. Çünkü erillerin dünyası hep güçlü",Roman
Büyük Düşünür Voltaire Yaşamı-Felsefesi-Yapıtları,"Çağının ve tüm zamanların en büyük düşünür ve yazarlarından sayılan Voltaire’in yaşamını ve yapıtlarını inceleyen olağanüstü bir kitap. Voltaire, tam bir tarafsızlıkla anlatılmıştır. Üstün yönlerinin yanında zayıf ve hatta çirkin sayılabilecek yönleri de nesnel bir biçimde ortaya konulmuştur. Çağdaşlarıyla polemikleri, yaşadığı aşklar, kalem kavgaları ve hatta ticari girişimleri Andre Cresson’un usta kaleminden kolayca okuyabileceğimiz bir akıcılıkla aktarılmıştır.",Biyografi-Otobiyografi
Büyük Dörtler,"Poirot'nun yatak odasının kapısında toza toprağa bulanmış bir adam durmaktadır. Zavallı adam Poirot'ya boş boş bakıp yere yığılır.Bir anda neye uğradığını anlamayan yaşlı dedektif pek çok bilinmezin ortasında kalakalmıştır.Bu adam kimdir? Şok mu geçirmektedir? Dahası, bir kâğıt parçasına defalarca karalanmış 4 rakamının bir anlamı var mıdır?Poirot farkında olmadan uluslararası bir entrikanın içine dalmıştır ve 4 rakamının sırrı tüm bilinmezlerin cevabı olacaktır.",Polisiye
78-80 Hikayeler,"Bir hikâyenin anlatılabilmesi için, önce olması gerekir. Yapılması, yaratılması, yazılması…“Satacak” bir şeyiniz yoksa; bir şey yapmamışsanız, eliniz boşsa, anlatacak bir hikâyeniz de olmaz. Varsa yaptığınız bir şeyiniz, onu insanlara aktarmanın en etkili yolu da hikâyesini anlatmaktır.Doğan L. Tılıç Hikâyeleri yaşayanların; yaşadıklarını, yaşayacak olanlara aktarmaları gerektiğine inanıyorum.Bizler, bizden öncekilerin hikâyelerini okuyarak büyüdük. Onlardan miras aldıklarımızı kendi hayatlarımıza aktardık. Bize bırakılan bu mirası ve yaşadıklarımızı gelecek kuşaklara aktarmanın da görevimiz o",Anı
Güzel Ayrılık,"Yakıcı güzelliği başına dert olmuş, evlenip yuva kurmak isteyen Seval, geçmişine sünger çekmek istemektedir. Kendisine yeni bir hayat kurmak için tayinini İstanbul'dan Ankara'ya çıkaran Celal'in yolu Seval'le birleşir. Seval'in çalıştığı kurumda, ona hayran olan ve onu her an izleyen Cemal için Seval'in kaderi, Tanrı'yı anlamanın bir yoluna dönüşür. Gizem ve Elif'le yapılan Postmodern buluşmaların yanına eklenen, bazen hayal, bazen rüya, bazen de gerçeğin birbirine girdiği ilişkilerle şekillenen bu hayatı izleyen bir kişi daha vardır: Kemal.""Bir günaha bulaşma cesareti göstermem, ruhumu kirlet",Roman
Gizemli Yurt 5 / Kahramanlar Alemi,"Kahramanları hepimiz çok severiz, hayranlık duyarız.Elbette kolay değildir bir halk kahramanı olmak.Tanıdık halk kahramanlarımızla, baş döndürücü bir serüvene girmeye var mısınız?Tamam o zaman, haydi başlayalım.“Kahramanlar Âlemi”nde ne ararsanız var: Komedi, hüzün, macera, tehlike, eğlence... Keloğlan’ın hiç bilinmeyen sıra dışı özgeçmişi...Karagöz’ün meşhur hırçınlığının arka planı...Nasreddin Hoca’nın alışılmadık ciddiyet yansıtan hâlleri...Lalezade Derviş Dede’nin tadına doyulmaz sırlı deyişleri...Cüce Abbas’ın ünlü bir halk kahramanı olamamasının sebebi... “Hepsi bu kapağın altında!” ders",Bilimkurgu-Fantazya
Sultanbeyli’den Nişantaşı’na Türk Şiiri,onca mısradan buraya geldin yorgunsun sevgili okuyucuşimdi seni iki mısralık bir tefekküre davet ediyorum:helal rızık için çalışan sahabenin elleriöpüldü peygamber tarafından.,Şiir
Rembrandt’ın Gözleri (Ciltli),"“Bir resme Schama’yla birlikte bakarsanız o resmi daha önce görmediğiniz bir yordamla görmeye başlarsınız.” –Doris Lessing, Daily Telegraph“Coşkulu ve devasa bir çalışma olan Rembrandt’ın Gözleri, sanatçının işlerine keskin bir takdir duygusuyla yaklaşmamızı sağlamakla kalmıyor, bizi aynı zamanda o dünyanın derinliklerine daldırıyor. Muhteşem…”–Michiko Kakutani, The New York Times“Schama’dan olağanüstü, destansı bir kitap. Yazar Rembrandt’ın modern sanatın kelebeğini özgür kılmak adına klasisizmin kozasını nasıl da parçalamaya giriştiğini anlatıyor; sonuç muazzam.”–Duncan Macmillan, Scotsman“O",Biyografi-Otobiyografi
Yer Uykuları,"O denizler şimdi tozlanmış, küflenmiş, naftalin tutmazZamanın paslı, zifiri karanlık yüklüğündeYaşamak; kibirli, rahatsız bir uykudur şehirlerdeYalnızlık; dikenli bir battaniyedir, insan sızdırmayan",Şiir
Dünya Edebiyatında Bir Dahi Tolstoy,"“19. yüzyıl boyunca Avrupa edebiyatında birkaç sima ilk sırada geliyor ve düşünce hareketlerinin öncüsü olarak genel kabul görüyorlardı. Bu sıra ilk önce, tahsilli okur takımının tamamının her bir sözünü can kulağıyla dinlediği, Goethe’ye aitti. Goethe’den sonra, Goethe’yi alkışlayanlardan, parlak ve asabi yazar Victor Hugo ortaya çıkıncaya kadar Avrupa edebiyat tahtı, uzun bir müddet boş kalacak; Victor Hugo’nun ölümünden sonra ise bu tahta, edebiyat temsilcilerinin en seçkini ve önderlerinden biri olduğu şüphe götürmeyen “Rus toprağının büyük yazarı” Kont Lev Nikolayeviç Tolstoy çıkacaktı.”",Biyografi-Otobiyografi
Karantinapolis,"“Koltuktan kalkan tozlar mikro ölçekte büyüklü küçüklü dağılıyor dört bir yana. Büyük patlama. Yeni bir evren genişliyor. Merkezinde biz, bizim etrafımızda yıldızlar, gezegenler, gök taşları, süper novalar. Her şey, her şey… Perdeler kapalı. Kapı kapalı. Dışarıda bilmem hangi mevsim. Bu koltuğun üstünde bir ben varım bir de sen. Kimsesiz ama iki başımıza. Elini tutuyorum. Üşenmeden, heyecanla başlıyorum elini tuttuğum yerden. Elif be ce...”İlke Mırık’ın ikinci kitabı Karantinapolis sekiz adet öyküden oluşuyor. Öyküleyenler ve öykülenenler, günlük hayatın durmaz sızısına küçük ve kişisel başkal",Hikâye
İleri Sar: Gelecekten Öyküler,"Bazıları için dünyanın sonu, diğerleri içinse sadece bir başlangıç. Ünlü bilimkurgu yazarı ve senarist Blake Crouch'un derlediği 6 cüretkâr öykülük bu koleksiyonda, teknolojik gelişmelerin insanlığa getirdiği sonuçları araştıran çağdaş edebiyatın en ileri görüşlü, ödüllü, büyük yazarları parlak bir hayal gücüyle yarına işaret ediyorlar. Kara mizahtan tüyler ürpertici distopyalara uzanan bu öykülerle ileriye sarıp geleceğe göz atmaya hazır mısınız? · Wayward Üçlemesi, Karanlık Madde ve Sahte Bellek romanları ile çoksatan yazarlardan Blake Crouch, SUMMER FROZE ile bilgisayar oyunları ve yapay ze",Bilimkurgu-Fantazya
Devrim Kahramanları Tarih Öğretisi 6,"“Geleceği kuran kişinin geçmişi yargılamaya hakkı vardır.” yargısını doğrulayan Mustafa Kemal Atatürk, Büyük Zafer’den sonra, eski kurumları kaldırıp yenilerini kurma çalışmalarını başlatır. Toplumu çağdaş kılma çabaları sırasında görev yapan Milli Eğitim Bakanlarının yaşam öyküleri incelemeye değer.",Biyografi-Otobiyografi
Doğma Yavrum Dünya Çok Kalabalık,"Yeni yıkanmış bahçenin kokusu yok artık. İri iri doğranmış domatesin zeytinyağına karışan kırmızı rengi de. Parmaklarından akarak yediğin, pembe beyaz gofret arasındaki kaymaklı dondurma da. Geride kaldı. Hayır, sen gittin. Biz gittik oralardan. Biz uzaklaştık… Çünkü… Büyüdük… Çocukluk denilen yitik ülkeye yolculuk… Küçük kızların kahramanları… Kadın olma, kadın olarak hayatta kalma sınavları... Doğma Yavrum Dünya Çok Kalabalık’ta Armağan Portakal kısacık öykülerle koca koca romanların yapamadığını yapıyor… Hepimizin yüreklerine kök salmış hislere yeniden can veriyor…",Hikâye
Mehmed Akif,"Süleyman Nazif, “İstiklâl Marşı” ve Safahat şairi Mehmed Âkif’in en aziz ve yakın dostlarındandır. Yüzyıl önce büyük felâketlerin yaşandığı ülkemizde aynı hicranı duymuş, aynı ızdırabı terennüm etmiş, aynı hüznü yaşamışlardır. Hem Mehmed Âkif hem de Süleyman Nazif, bu mübarek milletin değerlerine bağlanmış, vatana sevdalanmış, bayrağa âşık olmuş iki fikir, ideal ve iman adamıdır.Süleyman Nazif’in kaleme aldığı ve Mehmed Âkif hakkında yazılan ilk kitap özelliği taşıyan bu kitapta Türkçenin ve İstanbul’un büyük sanatkârını daha yakından tanıma fırsatı bulabiliyoruz. Eserde, Çanakkale Destanı’nı",Biyografi-Otobiyografi
Aynı Yolun Yolcuları,"Şiir insanın iç dünyasının dışa yansımış halidir. Bu eser de bu vesile ile ortaya çıkmıştır. Beş ana tema üzerine oluşturulan bu kitap, hayatın içinden kesitler sunmaktadır. Yazarlık tecrübemin ilk adımı olan ve adını içindeki her bir şiirin aynı mana ve duyguları taşımasından alan, AYNI YOLUN YOLCULARI adlı kitabımdaki şiirleri okurken keyifli bir zaman geçirmenizi temenni ederim. Bu süreçte fikir ve yorumlarıyla benden desteğini esirgemeyen eşim ve çocuklarıma teşekkür ederim.Bir karmaşadır insanKimi zaman gülmek isterKimi zaman ağlamakAnlaşılmazdır bazenKendini bile sorgular dururBazen durg",Şiir
Her Güne Bir Öykü 1 / Akıl ve Zeka Öyküleri,"İNSANLAR duygularını, düşüncelerini, hayallerini, istek ve tecrübelerini sıklıkla öyküler yoluyla diğer insanlara iletmişlerdir. Çünkü öyküler anlatılan konunun, verilmek istenen mesajın muhatap tarafından daha kolay anlaşılmasını sağlar. Bu bakımdan öyküler, tarih boyunca insanların birbirlerine başlıca dert anlatma yöntemlerinden biri olmuştur.Yabancı dilde olanların çevirisi yapılıp, güncelliğini kaybetmiş metinlerin elden geçirilmesi sonrasında akıl ve zekâya dair insanlığın mirası olmuş bu öyküler hazırlanmıştır.",Hikâye
Radyoda Evin Saati 3,"Radyoda Evin Saati üçüncü cildiyle sizlerle.Uzun ömür nereden gelir?İnsan nasıl mutlu olur?Hormonlara göre tipiniz nedir?Bunun gibi ilginç sorulara cevap bulacağınız, çok yaşamanın çarelerini öğreneceğiniz, eller ve karakterleri çözeceğiniz birbirinden ilginç konuları öğrenmek için zaman kaybetmeden sayfaları çevirmeye başlayın.Keyifli okumalar…",Deneme
Ahırkapılı Modigliani,"Rastgele seçtiğiniz kişilere “sanat nedir?” diye soracak olsanız, çoğunluğun aklına önce resim gelecek ve sorunuzu geçmişin ünlü tablolarından yola çıkarak yanıtlamaya çalışacaklardır. Irak ve Suriye’de yaşanan kaosun ardından, gerek yurdumuzda gerekse uluslararası piyasalarda üretilen sahte Picasso, Degas, van Gogh tablolarının sayısında büyük bir artış yaşandı ve dünyanın farklı yerlerindeki galeriler de bu sahtekârlığın mağdurları hâline geldiler.Taklit tablolar üzerinde uzmanlık sahibi Filiz Kıpçak, galeri sahiplerine ve koleksiyonerlere karbon ve boya kimyası kanunlarına dayanarak orijina",Polisiye
Aşka Dair Nesirler,"Gelme diyecektim, geldim. İyi ettim geldiğine. Nerdeyiz? Bir şehir yanıyor, dikkat et. Tutuşabiliriz, işte ilk ateş gözlerine düştü, sonra dudaklarına, saçlarının arasına kıvılcımlar doldu ışıl ışıl.Yanıyorsun, yanıyorum, yanıyoruz.Aramakla yetinsek bunlar gelmeyecekti başımıza. Yine de memnunum. İyi ettin geldiğine. Taş olup kalmaktansa, ağaç olup yanmak iyi. Ellerini ver, ellerini. Öpüşmeye susadım. Tırnak uçlarından öpmeye başlayacağım seni. Titreme, yanıyorsun.Ümit Yaşar Oğuzcan",Şiir
Üç Söğüt (Barre-y-va) / Arsen Lupen,"Maurice Leblanc’ın Üç Söğüt (Barre-y-va) adlı romanı, gizemli bir gece ziyaretiyle başlayan ve her adımında yeni sırlarla karşılaşan bir polisiye başyapıtıdır. Bekâr dairesinde huzurlu bir akşam geçirme hayali kuran Raoul d’Avenac, evine döndüğünde hiç beklemediği bir ziyaretçiyle karşılaşır. Sarı bukleli, endişeli bakışlara sahip gizemli bir kadın, onu karmaşık bir olaylar zincirinin tam ortasına çeker. Kısa sürede, suikastlar, entrikalar ve geçmişin gölgelerinde saklı sırlar açığa çıkmaya başlar. Üç Söğüt adlı bir yer, olayların düğüm noktası olurken Leblanc’ın yarattığı karakterler arasında",Polisiye
189 Sayfa,"Murathan Mungan ilk kitap 227 Sayfa'da olduğu gibi gözlemler, izlenimler, saptamalar, aforizmalar, denemeler, küçük notlardan, orta boy yazılardan oluşturuyor 189 Sayfa'yı.Şöyle diyor: "" Buradaki yazıların önemli bir bölümünde görüleceği gibi, yalnızca yazar olmak için değil, okur olmak için de geçilmesi gereken yollara, geliştirilmesi gereken özelliklere dikkat çekmek, işaret düşürmek istedim.İsterim ki bu kısa yazılar, notlar okurun zihninde çakımlar uyandırsın. Ona yeni düşünceler, duygulanımlar, yaklaşımlar esinlesin. Buluştukları sayfada yazarın ve okurun çakmak taşlarının sürtünmesiyle z",Deneme
Neden Doğurmuyorum?,"“Neden Doğurmuyorum?” hayatımızın farklı evrelerinde karşılaştığımız ve cevabı soranı asla ilgilendirmeyen soruları çocuk ekseninde ele alan, tanıdık, samimi, biraz da sivri dilli bir kitap… Aynı zamanda basmakalıp yaşamaya ara verip içine sıkıştığımız kalıpları sorgulamak için de keyifli bir başlangıç noktası…Kitabın ismini “Neden Evlenmiyorum?” diye değiştirip okumak da mümkün, “Neden Çalışmıyorum?” diye de…Her ne kadar ismi nedeniyle şahsi bir içeriğe sahip gibi görünse de kitabın asıl derdi toplum baskısının nasıl normalleştirildiğinin altını çizmek, düşünmeden yaşayıp giderken sınırları i",Deneme
Namlunun Ucundaki Hayatlar,"“Biliyor musun, senin geleceğini, utanıp diyememiştim. Demek insan eşine bir evladının olacağını söylemekten utanabilirmiş. Ben şimdi seni nasıl büyüteceğim? Hangi ninni, hangi masallarla seni avutacağım? Sen şehit oğlu oldun, baban bizi cennette bekliyor mu diyeceğim? Ellerin çocukları babalarının ellerinden tutup gezerken senin bir elin boş mu kalacak? Hayır, senin diğer elini melekler tutacak yavrum!Biliyor musun akşam yemeğinden sonra sanki babanı Allah konuşturdu. ‘Hanım bir duş alıp iki rekât namaz kılayım, Allâh’u âlem ben bugün şehit olacağım’ dedi. Ben de bir şey diyemedim. Sadece ‘Se",Roman
"“Ula Fılle, Hoş Geldin” Diyarbekirli Udi Yervant Bostancı","“Diyarbekir artık benim vazgeçilmez şehrim.O ‘Yervant Abi’ diye bağıran çocukların göz ışığı şehir,işte ben oralıyım ve dönmeye kararlıyım ya, bu bana yeter...”“Ula Fılle, Hoş Geldin”, Diyarbakırlı Ermeni Udi Yervant Bos­tancı’nın hikâyesi. Gâvur Mahallesi’nde başlayan, önce İstan­bul’a, sonra ABD’ye sıçrayan, udun, darbukanın, cümbüşün eksik olmadığı bir hayat. Diyarbakır’ın kendine özgü müziği­nin, puşiciliğinin içinde yoğrulmuş Udi Yervant, esnaf ve kom­şuluk ilişkilerini, aile tarihini ve müzik yaşamını tüm samimi­yetiyle anlatıyor. Hemşehrisi Şeyhmus Diken’in kaleme aldığı bu kitap, hem h",Anı
Duman Yiyen Adam,"Bu bir övgü değil.Sövgü de değil ama.Olan biten bir sevgi...Salt sevgi.Benim sevgim.Yüreği pır pır ettiren bir doyumsuz duygu...Birini sevmek gibi...Bir insanı...Anayı ya da babayı...Kediyi köpeği sevmek gibi...Börtü böceği sevmek gibi...Rakıyı yahu, rakıyı sevmek gibi bir şey bu...",Hikâye
Düşsel Konçerto Cilt 1,"Okur-kişi, sen kim olursan ol, şu anda burada seninle yüz yüze olmak, gözlerimi gözlerine dikmek, ellerini sıkmak ve sana alçak sesle: “Yaşadığına inanıyor musun? Gerçekten, derinlemesine, yoğun yaşadığına? Bu hayatın sana, gençliğin ateşli gecelerinde belki hayalini kurduğun kadar güzel ve büyük görünüyor mu?’’ demek isterdim.Ve daha da alçak sesle, yavaşça, sana sormak isterdim: Gençliğin var mıydı? Derinliklerinde, kanında bir şeylerin mayalandığını, kaynadığını, kıpırdandığını, heyecanlandığını; dışarı çıkmak, taşmak, dünyayı bir alev gölü misali sular altında bırakmak istediğini içinde hi",Hikâye
Basit,"Yazar, 81’de doğdu, İstanbul’da büyüdü. Bilgi Üniversitesi’nde Psikoloji ve Sosyoloji okudu, Paris 8 Üniversitesi’nde Felsefe ve Kültürün Çağdaş Eleştirisi bölümünde yüksek lisansını tamamladı. Mimar Sinan Güzel Sanatlar Üniversitesi Felsefe bölümünde doktora yeterliliğini aldı. Çoğunlukla sivil toplum alanında sosyal beceriler eğitimleri, eğitmen eğitimleri, izleme-değerlendirme ve danışmanlık yaptı. Yıllar içerisinde go (baduk) oyunu, yoga, sanat ve sporun çeşitli dallarıyla hobi düzeyinde ilgilendi. Halen varoluşçu bir psikolog olarak çalışıyor. 30’lu yaşlarında, eski defterleriyle vakit ge",Şiir
Talat Paşa,"Elinizdeki kitap hem biyografi, hem hatırât, hem de yâdigâr türünde bir eser. Hüseyin Cahit bu küçük hacimli ve fakat çok büyük tarihî ve fikrî kıymeti hâiz eserinde o edebî türlerden herhangi birisine bağlı kalma endişesi hissetmeden tanıdığı, bildiği, birlikte mücadele verdiği, zaman zaman tenkid ettiği, ama hiçbir vakit dostluğuna, kardeşâne hukukuna halel getirmediği yol arkadaşını içinden geldiği gibi ve dürüstçe anlatmaktadır. Anlattığı Tal’at’ın hayat sahneleri içerisindeki muhtelif aktörlerden biri de kendisidir. Yazar o “sahne”lerin kimisinde bizzat rol oynamış, kimisine de ön sıradak",Biyografi-Otobiyografi
