Metin,Normal Metin,Niyet,Tahmin,Doğru
son gelişmeleri söyle anlatır mısın,son gelismeleri soyle anlatir misin,HABER_SORUSU,HABER_SORUSU,True
bugün haber gündemini özetle lütfen,bugun haber gundemini ozetle lutfen,HABER_SORUSU,HABER_SORUSU,True
şimdi dünyada şu an neler oluyor anlatır mısın,simdi dunyada su an neler oluyor anlatir misin,HABER_SORUSU,HABER_SORUSU,True
şimdi dünyada şu an neler oluyor lütfen,simdi dunyada su an neler oluyor lutfen,HABER_SORUSU,HABER_SORUSU,True
şimdi günün gündemi nedir söyler misin,simdi gunun gundemi nedir soyler misin,HABER_SORUSU,HABER_SORUSU,True
güncel olaylar neler lütfen,guncel olaylar neler lutfen,HABER_SORUSU,HABER_SORUSU,True
bugün bugünkü haber başlıkları neler anlatır mısın,bugun bugunku haber basliklari neler anlatir misin,HABER_SORUSU,HABER_SORUSU,True
şimdi güncel olaylar neler anlatır mısın,simdi guncel olaylar neler anlatir misin,HABER_SORUSU,HABER_SORUSU,True
bugün güncel olaylar neler,bugun guncel olaylar neler,HABER_SORUSU,HABER_SORUSU,True
güncel olaylar neler anlatır mısın,guncel olaylar neler anlatir misin,HABER_SORUSU,HABER_SORUSU,True
kısaca bugünkü haber başlıkları neler anlatır mısın,kisaca bugunku haber basliklari neler anlatir misin,HABER_SORUSU,HABER_SORUSU,True
kısaca bugünkü haber başlıkları neler lütfen,kisaca bugunku haber basliklari neler lutfen,HABER_SORUSU,HABER_SORUSU,True
günün gündemi nedir lütfen,gunun gundemi nedir lutfen,HABER_SORUSU,HABER_SORUSU,True
kısaca haber gündemini özetle söyler misin,kisaca haber gundemini ozetle soyler misin,HABER_SORUSU,HABER_SORUSU,True
kısaca haberlerde hangi konular var söyler misin,kisaca haberlerde hangi konular var soyler misin,HABER_SORUSU,HABER_SORUSU,True
şimdi hava nasıl,simdi hava nasil,HAVA_SORUSU,HAVA_SORUSU,True
bugün şemsiye almalı mıyım,bugun semsiye almali miyim,HAVA_SORUSU,HAVA_SORUSU,True
bugün dışarısı ne kadar soğuk,bugun disarisi ne kadar soguk,HAVA_SORUSU,HAVA_SORUSU,True
akşam çok fırtınalı olursa her yerimi kapatan bir ceket lazım olacak,aksam cok firtinali olursa her yerimi kapatan bir ceket lazim olacak,HAVA_SORUSU,HAVA_SORUSU,True
hafta için hava tahmini nasıl,hafta icin hava tahmini nasil,HAVA_SORUSU,HAVA_SORUSU,True
lütfen istanbul için bugünkü hava tahminini ver,lutfen istanbul icin bugunku hava tahminini ver,HAVA_SORUSU,HAVA_SORUSU,True
şu anki hava durumu,su anki hava durumu,HAVA_SORUSU,HAVA_SORUSU,True
yarın yağmurlu mu olacak,yarin yagmurlu mu olacak,HAVA_SORUSU,HAVA_SORUSU,True
hey bugün hava nasıl,hey bugun hava nasil,HAVA_SORUSU,HAVA_SORUSU,True
haftanın hava durumu tahmini nedir,haftanin hava durumu tahmini nedir,HAVA_SORUSU,HAVA_SORUSU,True
bu haftaki hava durumunu söyle,bu haftaki hava durumunu soyle,HAVA_SORUSU,HAVA_SORUSU,True
bu gece sıcaklık düşüşleri olacak mı,bu gece sicaklik dususleri olacak mi,HAVA_SORUSU,HAVA_SORUSU,True
kış sabah ında sıcak çoraplar lazım olacak bana,kis sabah inda sicak coraplar lazim olacak bana,HAVA_SORUSU,HAVA_SORUSU,True
cumartesi günü için hava tahmini nasıl,cumartesi gunu icin hava tahmini nasil,HAVA_SORUSU,HAVA_SORUSU,True
pazartesi günü yağmur yağacak mı,pazartesi gunu yagmur yagacak mi,HAVA_SORUSU,HAVA_SORUSU,True
uygulaman evrendeki tüm kitapları kapsıyor mu,uygulaman evrendeki tum kitaplari kapsiyor mu,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
yerel sistemin veri dışında kalan eserleri tanır mı,yerel sistemin veri disinda kalan eserleri tanir mi,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman evrendeki tüm kitapları kapsıyor mu gerçekten,uygulaman evrendeki tum kitaplari kapsiyor mu gercekten,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman her başlığı bulma garantisi var mı,uygulaman her basligi bulma garantisi var mi,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
yerel sistemin her başlığı bulma garantisi var mı,yerel sistemin her basligi bulma garantisi var mi,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman veri dışında kalan eserleri tanır mı,uygulaman veri disinda kalan eserleri tanir mi,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman yayınlanmış her eseri tanır mı gerçekten,uygulaman yayinlanmis her eseri tanir mi gercekten,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman yayınlanmış her eseri tanır mı,uygulaman yayinlanmis her eseri tanir mi,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman hiç bilmediği kitap olur mu gerçekten,uygulaman hic bilmedigi kitap olur mu gercekten,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
yerel sistemin evrendeki tüm kitapları kapsıyor mu,yerel sistemin evrendeki tum kitaplari kapsiyor mu,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
yerel sistemin yayınlanmış her eseri tanır mı,yerel sistemin yayinlanmis her eseri tanir mi,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman her başlığı bulma garantisi var mı gerçekten,uygulaman her basligi bulma garantisi var mi gercekten,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
uygulaman veri dışında kalan eserleri tanır mı gerçekten,uygulaman veri disinda kalan eserleri tanir mi gercekten,HER_KITAP_SORUSU,HER_KITAP_SORUSU,True
bu anlatıda merkez karakterin adı nedir anlatır mısın,bu anlatida merkez karakterin adi nedir anlatir misin,KARAKTER_SORUSU,KARAKTER_SORUSU,True
bu anlatıda başroldeki karakter kim anlatır mısın,bu anlatida basroldeki karakter kim anlatir misin,KARAKTER_SORUSU,KARAKTER_SORUSU,True
bu anlatıda merkez karakterin adı nedir,bu anlatida merkez karakterin adi nedir,KARAKTER_SORUSU,KARAKTER_SORUSU,True
bu anlatıda hikâyeyi taşıyan kişi kimmiş anlatır mısın,bu anlatida hik yeyi tasiyan kisi kimmis anlatir misin,KARAKTER_SORUSU,KARAKTER_SORUSU,True
bu anlatıda esas kişi hangisi,bu anlatida esas kisi hangisi,KARAKTER_SORUSU,KARAKTER_SORUSU,True
bu anlatıda başroldeki karakter kim,bu anlatida basroldeki karakter kim,KARAKTER_SORUSU,KARAKTER_SORUSU,True
bu anlatıda hikâyeyi taşıyan kişi kimmiş,bu anlatida hik yeyi tasiyan kisi kimmis,KARAKTER_SORUSU,KARAKTER_SORUSU,True
öykünün içinde hikâyeyi taşıyan kişi kimmiş,oykunun icinde hik yeyi tasiyan kisi kimmis,KARAKTER_SORUSU,KARAKTER_SORUSU,True
bu anlatıda kahraman olarak kimi görüyoruz,bu anlatida kahraman olarak kimi goruyoruz,KARAKTER_SORUSU,KARAKTER_SORUSU,True
öykünün içinde merkez karakterin adı nedir,oykunun icinde merkez karakterin adi nedir,KARAKTER_SORUSU,KARAKTER_SORUSU,True
öykünün içinde kahraman olarak kimi görüyoruz,oykunun icinde kahraman olarak kimi goruyoruz,KARAKTER_SORUSU,KARAKTER_SORUSU,True
öykünün içinde başroldeki karakter kim,oykunun icinde basroldeki karakter kim,KARAKTER_SORUSU,KARAKTER_SORUSU,True
sınıflandırma tarafında hangi kategorilere ayırıyorsun,siniflandirma tarafinda hangi kategorilere ayiriyorsun,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında kaç ayrı etiket bulunuyor lütfen,siniflandirma tarafinda kac ayri etiket bulunuyor lutfen,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında hangi edebî sınıflar mevcut lütfen,siniflandirma tarafinda hangi edeb siniflar mevcut lutfen,KATEGORI_LISTESI,KATEGORI_LISTESI,True
etiket yapısında hangi kategorilere ayırıyorsun,etiket yapisinda hangi kategorilere ayiriyorsun,KATEGORI_LISTESI,KATEGORI_LISTESI,True
etiket yapısında tanınan türleri say,etiket yapisinda taninan turleri say,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında sınıf adlarını listele,siniflandirma tarafinda sinif adlarini listele,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında hangi kategorilere ayırıyorsun lütfen,siniflandirma tarafinda hangi kategorilere ayiriyorsun lutfen,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında tanınan türleri say lütfen,siniflandirma tarafinda taninan turleri say lutfen,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında hangi edebî sınıflar mevcut,siniflandirma tarafinda hangi edeb siniflar mevcut,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında tanınan türleri say,siniflandirma tarafinda taninan turleri say,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında kaç ayrı etiket bulunuyor,siniflandirma tarafinda kac ayri etiket bulunuyor,KATEGORI_LISTESI,KATEGORI_LISTESI,True
sınıflandırma tarafında sınıf adlarını listele lütfen,siniflandirma tarafinda sinif adlarini listele lutfen,KATEGORI_LISTESI,KATEGORI_LISTESI,True
etiket yapısında hangi edebî sınıflar mevcut,etiket yapisinda hangi edeb siniflar mevcut,KATEGORI_LISTESI,KATEGORI_LISTESI,True
hafızana göre konuştuğumuz başlığı hatırlat lütfen,hafizana gore konustugumuz basligi hatirlat lutfen,KITAP_ADI_SORUSU,KITAP_ADI_SORUSU,True
hafızana göre konuştuğumuz başlığı hatırlat,hafizana gore konustugumuz basligi hatirlat,KITAP_ADI_SORUSU,KITAP_ADI_SORUSU,True
önceki konuşmamızda konuştuğumuz başlığı hatırlat,onceki konusmamizda konustugumuz basligi hatirlat,KITAP_ADI_SORUSU,KITAP_ADI_SORUSU,True
Kuyruklu Yıldız Altında Bir İzdivaç,kuyruklu yildiz altinda bir izdivac,KITAP_ARAMA,KITAP_ARAMA,True
Yaban,yaban,KITAP_ARAMA,KITAP_ARAMA,True
Taaşşuk-ı Talat ve Fitnat,taassuk i talat ve fitnat,KITAP_ARAMA,KITAP_ARAMA,True
Kiralık Konak,kiralik konak,KITAP_ARAMA,KITAP_ARAMA,True
Sodom ve Gomore,sodom ve gomore,KITAP_ARAMA,KITAP_ARAMA,True
Huzur,huzur,KITAP_ARAMA,KITAP_ARAMA,True
Devlet Ana,devlet ana,KITAP_ARAMA,KITAP_ARAMA,True
İntibah,intibah,KITAP_ARAMA,KITAP_ARAMA,True
Anayurt Oteli,anayurt oteli,KITAP_ARAMA,KITAP_ARAMA,True
Araba Sevdası,araba sevdasi,KITAP_ARAMA,KITAP_ARAMA,True
Kuyucaklı Yusuf,kuyucakli yusuf,KITAP_ARAMA,KITAP_ARAMA,True
Aylak Adam,aylak adam,KITAP_ARAMA,KITAP_ARAMA,True
Forsa,forsa,KITAP_ARAMA,KITAP_ARAMA,True
Eylül,eylul,KITAP_ARAMA,KITAP_ARAMA,True
katalogda toplam eser adedi kaç şu an,katalogda toplam eser adedi kac su an,KITAP_SAYISI,KITAP_SAYISI,True
yerel arşivde kayıt hacmi nedir,yerel arsivde kayit hacmi nedir,KITAP_SAYISI,KITAP_SAYISI,True
katalogda kaç farklı başlık tutuluyor,katalogda kac farkli baslik tutuluyor,KITAP_SAYISI,KITAP_SAYISI,True
katalogda kaç kitaplık koleksiyon var,katalogda kac kitaplik koleksiyon var,KITAP_SAYISI,KITAP_SAYISI,True
katalogda toplam eser adedi kaç,katalogda toplam eser adedi kac,KITAP_SAYISI,KITAP_SAYISI,True
katalogda kaç farklı başlık tutuluyor şu an,katalogda kac farkli baslik tutuluyor su an,KITAP_SAYISI,KITAP_SAYISI,True
yerel arşivde veri miktarı kaç kitap,yerel arsivde veri miktari kac kitap,KITAP_SAYISI,KITAP_SAYISI,True
katalogda kaç kitaplık koleksiyon var şu an,katalogda kac kitaplik koleksiyon var su an,KITAP_SAYISI,KITAP_SAYISI,True
katalogda veri miktarı kaç kitap şu an,katalogda veri miktari kac kitap su an,KITAP_SAYISI,KITAP_SAYISI,True
yerel arşivde kaç farklı başlık tutuluyor,yerel arsivde kac farkli baslik tutuluyor,KITAP_SAYISI,KITAP_SAYISI,True
yerel arşivde toplam eser adedi kaç,yerel arsivde toplam eser adedi kac,KITAP_SAYISI,KITAP_SAYISI,True
katalogda veri miktarı kaç kitap,katalogda veri miktari kac kitap,KITAP_SAYISI,KITAP_SAYISI,True
yerel arşivde kaç kitaplık koleksiyon var,yerel arsivde kac kitaplik koleksiyon var,KITAP_SAYISI,KITAP_SAYISI,True
değerlendirme raporunda çapraz doğrulama sonucu ne lütfen,degerlendirme raporunda capraz dogrulama sonucu ne lutfen,MODEL_BILGISI,MODEL_BILGISI,True
eğitim sürecinde kullanılan yöntemi açıkla,egitim surecinde kullanilan yontemi acikla,MODEL_BILGISI,MODEL_BILGISI,True
değerlendirme raporunda çapraz doğrulama sonucu ne,degerlendirme raporunda capraz dogrulama sonucu ne,MODEL_BILGISI,MODEL_BILGISI,True
eğitim sürecinde hangi skor elde edildi,egitim surecinde hangi skor elde edildi,MODEL_BILGISI,MODEL_BILGISI,True
eğitim sürecinde öğrenme modelinin ayrıntıları nedir,egitim surecinde ogrenme modelinin ayrintilari nedir,MODEL_BILGISI,MODEL_BILGISI,True
eğitim sürecinde çapraz doğrulama sonucu ne,egitim surecinde capraz dogrulama sonucu ne,MODEL_BILGISI,MODEL_BILGISI,True
değerlendirme raporunda öğrenme modelinin ayrıntıları nedir lütfen,degerlendirme raporunda ogrenme modelinin ayrintilari nedir lutfen,MODEL_BILGISI,MODEL_BILGISI,True
değerlendirme raporunda öğrenme modelinin ayrıntıları nedir,degerlendirme raporunda ogrenme modelinin ayrintilari nedir,MODEL_BILGISI,MODEL_BILGISI,True
eğitim sürecinde test performansı kaç,egitim surecinde test performansi kac,MODEL_BILGISI,MODEL_BILGISI,True
bugün günün nasıl geçiyor merak ettim,bugun gunun nasil geciyor merak ettim,NASILSIN,NASILSIN,True
bugün halin vaktin nasıl merak ettim,bugun halin vaktin nasil merak ettim,NASILSIN,NASILSIN,True
bugün keyfin yerinde mi,bugun keyfin yerinde mi,NASILSIN,NASILSIN,True
bugün durumun nasıl,bugun durumun nasil,NASILSIN,NASILSIN,True
bugün durumun nasıl merak ettim,bugun durumun nasil merak ettim,NASILSIN,NASILSIN,True
bugün kendini iyi hissediyor musun merak ettim,bugun kendini iyi hissediyor musun merak ettim,NASILSIN,NASILSIN,True
bu akşam kendini iyi hissediyor musun,bu aksam kendini iyi hissediyor musun,NASILSIN,NASILSIN,True
bugün keyfin yerinde mi merak ettim,bugun keyfin yerinde mi merak ettim,NASILSIN,NASILSIN,True
bugün halin vaktin nasıl,bugun halin vaktin nasil,NASILSIN,NASILSIN,True
bugün kendini iyi hissediyor musun,bugun kendini iyi hissediyor musun,NASILSIN,NASILSIN,True
bugün günün nasıl geçiyor,bugun gunun nasil geciyor,NASILSIN,NASILSIN,True
romanın ilerleyen kısmında final hangi olayla tamamlanıyor,romanin ilerleyen kisminda final hangi olayla tamamlaniyor,OLAY_SORUSU,OLAY_SORUSU,True
anlatının içinde final hangi olayla tamamlanıyor,anlatinin icinde final hangi olayla tamamlaniyor,OLAY_SORUSU,OLAY_SORUSU,True
romanın ilerleyen kısmında yolculuğun nedeni nedir,romanin ilerleyen kisminda yolculugun nedeni nedir,OLAY_SORUSU,OLAY_SORUSU,True
romanın ilerleyen kısmında kahramanın başına ne geliyor,romanin ilerleyen kisminda kahramanin basina ne geliyor,OLAY_SORUSU,OLAY_SORUSU,True
romanın ilerleyen kısmında gelişmeler hangi sırayla yaşanıyor,romanin ilerleyen kisminda gelismeler hangi sirayla yasaniyor,OLAY_SORUSU,OLAY_SORUSU,True
anlatının içinde kahramanın başına ne geliyor özetler misin,anlatinin icinde kahramanin basina ne geliyor ozetler misin,OLAY_SORUSU,OLAY_SORUSU,True
romanın ilerleyen kısmında çatışma nasıl ortaya çıkıyor,romanin ilerleyen kisminda catisma nasil ortaya cikiyor,OLAY_SORUSU,OLAY_SORUSU,True
anlatının içinde kahramanın başına ne geliyor,anlatinin icinde kahramanin basina ne geliyor,OLAY_SORUSU,OLAY_SORUSU,True
şu eser için ana içeriği nedir,su eser icin ana icerigi nedir,OZET_SORUSU,OZET_SORUSU,True
şu eser için hikâyenin özünü anlat lütfen,su eser icin hik yenin ozunu anlat lutfen,OZET_SORUSU,OZET_SORUSU,True
şu eser için kısa bir konu özeti çıkar lütfen,su eser icin kisa bir konu ozeti cikar lutfen,OZET_SORUSU,OZET_SORUSU,True
şu eser için hikâyenin özünü anlat,su eser icin hik yenin ozunu anlat,OZET_SORUSU,OZET_SORUSU,True
şu eser için kısa bir konu özeti çıkar,su eser icin kisa bir konu ozeti cikar,OZET_SORUSU,OZET_SORUSU,True
şu eser için genel olarak ne işleniyor lütfen,su eser icin genel olarak ne isleniyor lutfen,OZET_SORUSU,OZET_SORUSU,True
şu eser için ana içeriği nedir lütfen,su eser icin ana icerigi nedir lutfen,OZET_SORUSU,OZET_SORUSU,True
bir tane kısa ve eğlenceli bir şaka söyle olur mu,bir tane kisa ve eglenceli bir saka soyle olur mu,SAKA_ISTEGI,SAKA_ISTEGI,True
kısa ve eğlenceli bir şaka söyle,kisa ve eglenceli bir saka soyle,SAKA_ISTEGI,SAKA_ISTEGI,True
hadi kısa ve eğlenceli bir şaka söyle,hadi kisa ve eglenceli bir saka soyle,SAKA_ISTEGI,SAKA_ISTEGI,True
bir tane neşeli bir kitap esprisi söyle lütfen,bir tane neseli bir kitap esprisi soyle lutfen,SAKA_ISTEGI,SAKA_ISTEGI,True
kitap temalı mizah yap lütfen,kitap temali mizah yap lutfen,SAKA_ISTEGI,SAKA_ISTEGI,True
lütfen kitap temalı mizah yap,lutfen kitap temali mizah yap,SAKA_ISTEGI,SAKA_ISTEGI,True
bir tane beni biraz neşelendir,bir tane beni biraz neselendir,SAKA_ISTEGI,SAKA_ISTEGI,True
lütfen beni biraz neşelendir olur mu,lutfen beni biraz neselendir olur mu,SAKA_ISTEGI,SAKA_ISTEGI,True
lütfen kitap temalı mizah yap lütfen,lutfen kitap temali mizah yap lutfen,SAKA_ISTEGI,SAKA_ISTEGI,True
bir tane kitap temalı mizah yap,bir tane kitap temali mizah yap,SAKA_ISTEGI,SAKA_ISTEGI,True
lütfen komik bir cümle kur olur mu,lutfen komik bir cumle kur olur mu,SAKA_ISTEGI,SAKA_ISTEGI,True
kitap temalı mizah yap olur mu,kitap temali mizah yap olur mu,SAKA_ISTEGI,SAKA_ISTEGI,True
komik bir cümle kur olur mu,komik bir cumle kur olur mu,SAKA_ISTEGI,SAKA_ISTEGI,True
bir tane neşeli bir kitap esprisi söyle olur mu,bir tane neseli bir kitap esprisi soyle olur mu,SAKA_ISTEGI,SAKA_ISTEGI,True
neşeli bir kitap esprisi söyle lütfen,neseli bir kitap esprisi soyle lutfen,SAKA_ISTEGI,SAKA_ISTEGI,True
incelediğimiz yapıt sayfa adedi nedir,inceledigimiz yapit sayfa adedi nedir,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser okuma uzunluğu ne kadar merak ettim,su eser okuma uzunlugu ne kadar merak ettim,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser sayfa adedi nedir,su eser sayfa adedi nedir,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser okuma uzunluğu ne kadar,su eser okuma uzunlugu ne kadar,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser kısa bir kitap sayılır mı merak ettim,su eser kisa bir kitap sayilir mi merak ettim,SAYFA_SORUSU,SAYFA_SORUSU,True
incelediğimiz yapıt okuma uzunluğu ne kadar,inceledigimiz yapit okuma uzunlugu ne kadar,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser kaç sayfadan oluşuyor merak ettim,su eser kac sayfadan olusuyor merak ettim,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser kaç sayfadan oluşuyor,su eser kac sayfadan olusuyor,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser sayfa adedi nedir merak ettim,su eser sayfa adedi nedir merak ettim,SAYFA_SORUSU,SAYFA_SORUSU,True
şu eser kısa bir kitap sayılır mı,su eser kisa bir kitap sayilir mi,SAYFA_SORUSU,SAYFA_SORUSU,True
günaydın yeniden,gunaydin yeniden,SELAMLAMA,SELAMLAMA,True
selam sana orada mısın,selam sana orada misin,SELAMLAMA,SELAMLAMA,True
merhaba sistem,merhaba sistem,SELAMLAMA,SELAMLAMA,True
selam sana,selam sana,SELAMLAMA,SELAMLAMA,True
hayırlı günler,hayirli gunler,SELAMLAMA,SELAMLAMA,True
selam sana KitapPusula,selam sana kitappusula,SELAMLAMA,SELAMLAMA,True
esenlikler KitapPusula,esenlikler kitappusula,SELAMLAMA,SELAMLAMA,True
esenlikler orada mısın,esenlikler orada misin,SELAMLAMA,SELAMLAMA,True
hayırlı günler orada mısın,hayirli gunler orada misin,SELAMLAMA,SELAMLAMA,True
günaydın yeniden orada mısın,gunaydin yeniden orada misin,SELAMLAMA,SELAMLAMA,True
merhaba sistem orada mısın,merhaba sistem orada misin,SELAMLAMA,SELAMLAMA,True
hayırlı günler KitapPusula,hayirli gunler kitappusula,SELAMLAMA,SELAMLAMA,True
merhaba sistem KitapPusula,merhaba sistem kitappusula,SELAMLAMA,SELAMLAMA,True
günaydın yeniden KitapPusula,gunaydin yeniden kitappusula,SELAMLAMA,SELAMLAMA,True
bir değerlendirme olarak bu yapıt kimlere hitap eder,bir degerlendirme olarak bu yapit kimlere hitap eder,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
bir değerlendirme olarak sonun sembolik anlamı ne olabilir,bir degerlendirme olarak sonun sembolik anlami ne olabilir,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
bir değerlendirme olarak eserin alt metni nasıl okunabilir,bir degerlendirme olarak eserin alt metni nasil okunabilir,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla kitabın etkisi ne olabilir,senin yorumunla kitabin etkisi ne olabilir,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
bir değerlendirme olarak kitabın etkisi ne olabilir,bir degerlendirme olarak kitabin etkisi ne olabilir,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla yazarın niyeti hakkında çıkarım yap yorumlar mısın,senin yorumunla yazarin niyeti hakkinda cikarim yap yorumlar misin,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla sonun sembolik anlamı ne olabilir,senin yorumunla sonun sembolik anlami ne olabilir,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla bu yapıt kimlere hitap eder yorumlar mısın,senin yorumunla bu yapit kimlere hitap eder yorumlar misin,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla eserin alt metni nasıl okunabilir yorumlar mısın,senin yorumunla eserin alt metni nasil okunabilir yorumlar misin,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla kitabın etkisi ne olabilir yorumlar mısın,senin yorumunla kitabin etkisi ne olabilir yorumlar misin,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla bu yapıt kimlere hitap eder,senin yorumunla bu yapit kimlere hitap eder,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla eserin alt metni nasıl okunabilir,senin yorumunla eserin alt metni nasil okunabilir,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla yazarın niyeti hakkında çıkarım yap,senin yorumunla yazarin niyeti hakkinda cikarim yap,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
senin yorumunla sonun sembolik anlamı ne olabilir yorumlar mısın,senin yorumunla sonun sembolik anlami ne olabilir yorumlar misin,SERBEST_KITAP_SORUSU,SERBEST_KITAP_SORUSU,True
pasifik standart zamanına göre saat kaç,pasifik standart zamanina gore saat kac,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
on beş mart haftanın hangi gününe denk gelir,on bes mart haftanin hangi gunune denk gelir,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
ulusal zaman diliminde saat kaç,ulusal zaman diliminde saat kac,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
şu an türkiye de saat kaç,su an turkiye de saat kac,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
bugün yirmi mart mı,bugun yirmi mart mi,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
lütfen bana trabzon daki saati söyle,lutfen bana trabzon daki saati soyle,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
ankara da şu anda saat kaç,ankara da su anda saat kac,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
bu yıl yeni yıl hangi güne denk geliyor,bu yil yeni yil hangi gune denk geliyor,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
saati söyle,saati soyle,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
şu an izmir'de saat kaç,su an izmir de saat kac,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
olly bu şehirde saat kaç,olly bu sehirde saat kac,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
şu an saatin kaç olduğunu bilmek istiyorum,su an saatin kac oldugunu bilmek istiyorum,TARIH_SAAT_SORUSU,TARIH_SAAT_SORUSU,True
şu kitap için bilgi kartını bir daha getir,su kitap icin bilgi kartini bir daha getir,TEKRAR_GOSTER,TEKRAR_GOSTER,True
önceki kayıt için aynı verileri tekrar sun,onceki kayit icin ayni verileri tekrar sun,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için aynı verileri tekrar sun,su kitap icin ayni verileri tekrar sun,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için bilgi kartını bir daha getir lütfen,su kitap icin bilgi kartini bir daha getir lutfen,TEKRAR_GOSTER,TEKRAR_GOSTER,True
önceki kayıt için bilgi kartını bir daha getir,onceki kayit icin bilgi kartini bir daha getir,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için bütün ayrıntıları baştan göster lütfen,su kitap icin butun ayrintilari bastan goster lutfen,TEKRAR_GOSTER,TEKRAR_GOSTER,True
önceki kayıt için kitap künyesini yeniden aç,onceki kayit icin kitap kunyesini yeniden ac,TEKRAR_GOSTER,TEKRAR_GOSTER,True
önceki kayıt için bütün ayrıntıları baştan göster,onceki kayit icin butun ayrintilari bastan goster,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için kitap künyesini yeniden aç,su kitap icin kitap kunyesini yeniden ac,TEKRAR_GOSTER,TEKRAR_GOSTER,True
önceki kayıt için tüm alanları yeniden sırala,onceki kayit icin tum alanlari yeniden sirala,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için tüm alanları yeniden sırala,su kitap icin tum alanlari yeniden sirala,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için bütün ayrıntıları baştan göster,su kitap icin butun ayrintilari bastan goster,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için aynı verileri tekrar sun lütfen,su kitap icin ayni verileri tekrar sun lutfen,TEKRAR_GOSTER,TEKRAR_GOSTER,True
şu kitap için tüm alanları yeniden sırala lütfen,su kitap icin tum alanlari yeniden sirala lutfen,TEKRAR_GOSTER,TEKRAR_GOSTER,True
